Evento,Distancia,s-p,Estacion
2016_07_18 02_58_50_M5_2,94.153,12.1,CO02
2016_08_10 06_43_40_M4_5,109.87,18.325,CO02
2016_10_27 20_32_55_M5_9,318.875,61.1,CO02
2017_02_12 16_21_10_M4_9,117.343,19.15,GO03
2017_03_31 18_44_38_M5_2,79.9951,9.9,CO02
2017_04_24 21_38_30_M6_9,227.039,42.675,CO02
2017_04_28 15_58_34_M5_4,246.566,39.9,CO02
2017_04_28 16_18_41_M4_6,253.06,37.95,CO02
2017_06_12 02_43_26_M5_7,83.365,12.625,CO02
2017_09_18 13_46_57_M5_9,125.719,18.025,CO02
2017_10_07 10_37_24_M4_1,166.57,22.275,CO02
2017_12_28 03_54_51_M5_5,60.1544,15.75,PB14
2018_08_01 06_19_05_M4_9,104.193,13.475,CO02
2018_09_22 13_13_58_M5_4,157.386,22.225,PB14
2018_09_23 05_32_11_M5_4,78.6489,13.5,PB14
2019_01_20 01_32_51_M6_7,140.428,39.45,CO01
2019_01_30 07_44_45_M5_6,153.147,20.475,PB14
2019_03_07 15_34_28_M5_7,582.628,61.225,PB14
2019_03_16 18_06_15_M5_2,583.975,111.45,PB14
2019_06_03 08_42_17_M5_2,138.707,18.3,GO01
2019_08_02 00_09_15_M4_2,349.536,55.525,CO02
2019_08_02 00_55_16_M5_4,348.914,60.575,CO02
2019_09_26 20_31_28_M5_4,153.865,22.3,CO02
2019_11_04 21_53_25_M6_1,95.517,11.45,CO02
2019_11_24 21_18_25_M4_7,88.2889,13.15,CO02
2019_12_03 08_46_36_M6_0,199.627,27.675,GO01
2020_01_09 16_25_56_M4_1,203.872,28.025,GO01
2020_01_28 18_16_44_M5_5,167.587,32.7,CO02
2020_02_11 13_50_02_M5_3,64.7396,7.175,PB14
2020_02_13 05_50_38_M5_0,185.831,28.775,PB09
2020_03_24 06_52_15_M5_0,114.528,22.625,CO02
2020_04_03 08_48_00_M4_8,219.042,41.075,GO03
2020_06_15 04_35_44_M4_4,144.023,17.575,CO02
2020_07_20 20_33_52_M4_5,44.2519,1.9,PB14
2020_09_01 04_09_28_M6_8,115.827,19.525,GO03
2020_09_01 04_30_02_M6_3,116.122,17.875,GO03
2020_09_01 05_29_38_M5_5,117.469,19.075,GO03
2020_09_01 10_31_52_M5_7,121.099,21.35,GO03
2020_09_03 03_23_54_M4_6,131.547,17.7,GO03
2020_09_11 07_35_57_M6_2,97.4866,14.3,PB09
2020_10_25 21_17_14_M5_3,189.638,28.675,GO01
2020_10_28 14_53_10_M5_8,137.939,18.125,CO01
2020_11_21 02_11_48_M5_5,74.6643,7.275,CO02
