evento,estacion,Distancia,s_p,s_p_man,P_Cote,S_Cote,SP_Cote
2014_09_01 20_41_31_M3_4,GO01,159.091,19.2725999999966,20.975,735843.8624583334,735843.8626814516,19.277399999991758
2014_03_18 16_46_17_M3_4,PB06,330.613,43.73090000000229,22.925,735676.6994430444,735676.6999571573,44.41939999999886
2014_05_15 17_45_45_M3_4,CO02,174.003,18.619299999998475,22.8,735734.740407258,735734.7406330645,19.50970000000234
2015_08_23 23_26_07_M3_4,GO03,269.023,30.50130000000354,31.225,736199.9769299396,736199.977344254,35.79669999999169
2015_08_01 10_19_06_M3_4,GO03,195.934,22.212500000001455,28.025,736177.4303158602,736177.4305873655,23.45810000000347
2014_04_06 18_00_56_M3_4,PB09,224.36,27.561399999998685,32.55,735695.7510519153,735695.751405746,30.570999999996275
2015_01_02 01_02_18_M3_4,PB09,265.69,31.23630000000003,15.925,735966.0437121977,735966.0441295364,36.05799999999999
2014_04_06 19_42_22_M3_5,GO01,186.293,22.21250000000873,22.75,735695.8214395161,735695.821702957,22.7612999999983
2014_06_10 06_14_24_M3_5,PB09,278.817,37.238499999999476,27.675,735760.2604744624,735760.2609556451,41.574099999998
2014_03_15 02_46_56_M3_5,PB09,261.591,44.098299999999654,35.325,735673.1166023186,735673.1171436493,46.77100000000064
2014_04_02 14_10_49_M3_5,GO01,183.658,21.885800000003655,38.025,735691.5911922044,735691.5914556452,22.761200000000827
2015_07_19 09_18_21_M3_5,CO02,96.254,11.718700000004901,13.925,736164.3879410282,736164.3880845094,12.396800000002258
2015_03_09 06_17_15_M3_5,PB14,164.863,18.006799999999203,12.35,736032.2622666331,736032.262484375,18.81290000000081
2015_01_21 17_51_59_M3_6,GO03,77.9203,8.493000000002212,9.4,735985.7445712367,735985.7446680109,8.361300000004121
2014_04_05 12_23_08_M3_6,PB06,314.68,31.44050000000425,20.375,735694.5166132393,735694.5171139113,43.25800000000163
2014_02_04 11_44_28_M3_6,GO01,332.972,35.9320000000007,31.35,735634.4898148521,735634.4902315189,36.0
2014_03_19 04_49_50_M3_6,GO03,186.003,20.905800000000454,24.625,735677.2016115591,735677.2019045699,25.316100000000006
2014_01_22 17_36_50_M3_6,PB06,243.86,28.5821999999971,23.6,735621.7343276211,735621.7347342072,35.129000000000815
2016_02_26 23_34_06_M3_7,CO02,169.695,17.96600000000035,18.55,736386.9823561828,736386.9825712366,18.58060000000114
2014_03_26 15_01_02_M3_7,GO01,202.965,23.192399999999907,46.125,735684.6261034947,735684.6263965054,25.316200000001118
2014_10_19 08_02_23_M3_7,GO01,199.09,21.55909999999858,24.975,735891.3353884409,735891.3356465054,22.296800000000076
2014_03_19 21_15_22_M3_7,PB09,255.259,29.031400000007125,25.35,735677.8861668346,735677.8865115928,29.787100000001374
2015_08_24 23_56_38_M3_8,CO02,172.215,19.2725999999966,36.775,736200.9979798386,736200.9982110214,19.974199999996927
2015_08_12 17_45_32_M3_8,GO03,587.593,63.20760000000155,49.75,736188.7409168347,736188.7416517137,63.49360000000161
2014_06_28 15_47_41_M3_8,GO01,106.133,11.10620000000199,12.4,735778.6583158602,735778.6584663978,13.006499999995867
2015_08_27 18_14_58_M3_8,PB09,419.754,43.36329999999725,66.075,736203.7611113911,736203.761625504,44.41930000000866
2014_09_12 16_14_33_M3_9,CO02,183.491,20.905899999997928,27.9,735854.6770793011,735854.6773293011,21.599999999998545
2014_07_13 19_00_24_M3_9,PB14,52.9957,6.206399999995483,6.375,735793.7920551075,735793.7921330646,6.735499999995227
2015_04_29 11_34_16_M3_9,AC02,233.396,24.254000000000815,13.8,736083.4825428427,736083.4828240927,24.30000000000291
2014_07_08 17_19_43_M2_8,GO01,155.038,17.96600000000035,20.175,735788.7223158602,735788.7225282257,18.348400000002584
2014_09_23 03_43_38_M2_8,GO01,208.37,23.519099999999526,29.575,735865.1556733871,735865.1559422043,23.225899999999456
2014_04_19 18_21_54_M2_9,GO01,286.664,31.84879999999248,17.025,735708.7657241264,735708.7661139114,33.67740000000049
2015_05_12 05_50_13_M2_9,PB09,136.175,14.331999999998516,10.525,736096.2434702622,736096.2436426411,14.893499999998312
2014_05_23 01_27_03_M2_9,GO01,186.986,21.885800000000017,23.55,735742.0607836022,735742.0610470431,22.76130000000012
2014_02_21 18_17_30_M2_5,PB06,107.181,11.106199999994715,15.55,735651.7623481182,735651.762482527,11.612900000007357
2014_07_13 13_13_16_M2_5,PB09,102.65,14.04609999999957,17.2,735793.5510712366,735793.5512217742,13.006499999995867
2015_01_07 17_19_06_M2_7,GO01,150.571,18.619299999998475,23.075,735971.721891129,735971.722108871,18.812999999994645
2014_02_03 12_36_27_M2_8,GO03,155.872,17.312599999997474,20.225,735633.5255954302,735633.5258077957,18.348299999997835
2014_04_23 11_42_00_M2_7,GO01,116.57,13.066099999996368,15.1,735712.4877163979,735712.4878776881,13.935499999999593
2014_08_27 21_10_00_M2_6,GO01,163.277,20.579199999992852,21.125,735838.8822432796,735838.8824959678,21.832199999989825
2014_08_27 21_10_00_M2_6,GO01,356.38,42.46510000000126,21.125,,,
2014_08_27 21_10_00_M2_6,PB06,163.277,20.579199999992852,21.125,735838.8822432796,735838.8824959678,21.832199999989825
2014_08_27 21_10_00_M2_6,PB06,356.38,42.46510000000126,21.125,,,
2014_07_12 01_53_48_M2_6,CO02,288.592,30.052200000000084,20.325,735792.079514785,735792.079891129,32.516099999999824
2014_03_18 17_31_58_M2_5,GO01,193.152,23.519100000004983,24.0,735676.7308991936,735676.7311680107,23.225800000000163
2014_03_18 20_32_18_M2_5,PB09,282.228,32.33869999999297,38.8,735676.8562938509,735676.8566930444,34.490300000004936
2014_05_01 09_39_40_M2_5,PB09,180.275,20.905900000005204,16.725,735720.4029018817,735720.4031760752,23.690300000002026
2015_01_27 09_59_44_M2_9,PB06,327.567,42.056700000001,41.3,735991.4170124328,735991.4175668682,47.90320000000065
2014_05_06 15_03_56_M2_7,GO01,151.294,17.721000000005006,18.45,735725.6280280577,735725.6282326949,17.680599999999686
2015_03_30 12_23_59_M2_8,PB06,266.982,29.39890000000014,35.575,736053.5170829974,736053.5174190189,29.03219999999419
2015_03_30 12_23_59_M2_8,PB06,213.833,23.519100000004983,35.575,736053.5170337702,736053.5173150202,24.30000000000291
2015_03_30 12_23_59_M2_8,PB09,266.982,29.39890000000014,35.575,736053.5170829974,736053.5174190189,29.03219999999419
2015_03_30 12_23_59_M2_8,PB09,213.833,23.519100000004983,35.575,736053.5170337702,736053.5173150202,24.30000000000291
2014_05_20 10_46_35_M2_7,GO01,232.362,24.172399999995832,31.375,735739.4494422043,735739.4497217742,24.15480000000389
2014_06_21 07_22_34_M2_7,PB09,191.439,22.86579999999958,29.175,735771.3077110215,735771.3079717743,22.52900000000227
2014_04_01 01_06_37_M2_9,GO01,203.438,22.865800000000036,27.975,735690.0466196237,735690.046891129,23.458000000000084
2014_03_21 18_29_22_M2_7,GO01,162.735,18.945900000006077,26.375,735679.7707002688,735679.7709180107,18.812899999989895
2014_05_27 20_54_27_M2_6,GO01,121.003,13.392800000001444,15.575,735746.8713723117,735746.8715282257,13.471000000005006
2015_01_18 19_32_31_M2_6,PB06,97.333,9.71799999999348,14.025,735982.8144222111,735982.8145421707,10.364600000000792
2014_02_25 00_03_05_M2_5,GO01,138.303,17.312599999999975,29.65,735655.0024260753,735655.0026223118,16.954800000000006
2015_03_26 22_30_26_M2_6,PB09,103.643,10.779599999994389,19.525,736049.9379905914,736049.9381357527,12.54189999999653
2014_03_24 04_41_40_M2_5,GO01,181.016,21.55909999999858,26.0,735682.1959422043,735682.1962083334,22.993500000000495
2014_11_23 08_54_27_M2_3,PB06,106.859,12.412899999999354,7.7,735926.37134543,735926.3714932795,12.774099999998725
2014_08_10 20_42_17_M2_5,GO01,91.899,11.106299999999464,11.75,735821.862875,735821.8630040322,11.148399999990943
2014_03_26 07_07_32_M2_4,PB06,321.99,37.15690000000177,27.175,735684.2974351478,735684.2979795027,47.03219999999783
2014_03_26 07_07_32_M2_4,PB06,253.222,30.501400000001013,27.175,735684.2973815525,735684.2977474799,31.61620000000039
2014_03_26 07_07_32_M2_4,PB09,321.99,37.15690000000177,27.175,735684.2974351478,735684.2979795027,47.03219999999783
2014_03_26 07_07_32_M2_4,PB09,253.222,30.501400000001013,27.175,735684.2973815525,735684.2977474799,31.61620000000039
