Evento,Distancia,s-p,Estacion
2016_06_05 09_30_52_M4_0,876.334,168.975,PB09
2016_07_18 02_58_50_M5_2,1255.79,190.975,PB14
2016_08_10 06_43_40_M4_5,1384.62,196.55,PB06
2016_10_27 20_32_55_M5_9,1596.65,267.325,AC02
2017_02_12 16_21_10_M4_9,935.254,150.325,PB09
2017_03_31 18_44_38_M5_2,1251.06,175.375,PB06
2017_04_24 21_38_30_M6_9,1507.54,222.0,PB09
2017_04_28 15_58_34_M5_4,1529.57,297.95,PB14
2017_04_28 16_18_41_M4_6,1532.02,202.175,GO03
2017_06_12 02_43_26_M5_7,1336.11,192.475,PB14
2017_09_18 13_46_57_M5_9,1376.9,213.0,PB14
2017_10_07 10_37_24_M4_1,1445.9,188.575,GO03
2017_12_28 03_54_51_M5_5,705.893,96.325,GO01
2018_08_01 06_19_05_M4_9,1327.7,121.4,PB06
2018_09_22 13_13_58_M5_4,715.633,108.1,CO02
2018_09_23 05_32_11_M5_4,767.814,106.925,GO01
2019_01_20 01_32_51_M6_7,1175.43,193.175,PB14
2019_01_30 07_44_45_M5_6,708.415,102.65,GO01
2019_03_07 15_34_28_M5_7,917.588,142.2,PB06
2019_03_16 18_06_15_M5_2,915.352,150.95,PB09
2019_06_03 08_42_17_M5_2,1276.75,197.175,GO03
2019_08_02 00_09_15_M4_2,1634.11,118.2,GO03
2019_08_02 00_55_16_M5_4,1635.17,250.25,GO03
2019_09_26 20_31_28_M5_4,1150.05,191.775,PB09
2019_11_04 21_53_25_M6_1,1366.73,197.1,AC02
2019_11_24 21_18_25_M4_7,1363.85,170.55,PB14
2019_12_03 08_46_36_M6_0,1401.47,224.325,PB14
2020_01_09 16_25_56_M4_1,1266.27,188.225,GO03
2020_01_28 18_16_44_M5_5,1213.41,240.0,PB14
2020_02_11 13_50_02_M5_3,712.194,97.875,GO01
2020_02_13 05_50_38_M5_0,1135.9,173.3,GO03
2020_03_24 06_52_15_M5_0,1242.9,170.375,PB14
2020_04_03 08_48_00_M4_8,1069.88,174.025,PB06
2020_06_15 04_35_44_M4_4,1174.55,142.275,PB14
2020_07_20 20_33_52_M4_5,736.076,88.6,CO02
2020_09_01 04_09_28_M6_8,715.543,76.45,PB06
2020_09_01 04_30_02_M6_3,951.395,116.325,PB09
2020_09_01 05_29_38_M5_5,944.841,143.0,PB09
2020_09_01 10_31_52_M5_7,936.091,152.325,GO01
2020_09_03 03_23_54_M4_6,947.621,154.475,PB09
2020_09_11 07_35_57_M6_2,1093.34,154.625,CO02
2020_10_25 21_17_14_M5_3,1240.94,191.825,PB14
2020_10_28 14_53_10_M5_8,1090.5,126.575,PB06
2020_11_21 02_11_48_M5_5,1267.72,180.825,PB14
